1e-09,1,59.69539075422
1e-09,0.98,59.6966138003861
1e-09,0.96,59.6975929326718
1e-09,0.94,59.6991486751688
1e-09,0.92,59.7001164813493
500,1,59.6964059854619
500,0.98,59.6976114486277
500,0.96,59.6989239196071
500,0.94,59.699867861334
500,0.92,59.7008594738879
1000,1,59.6973150928164
1000,0.98,59.698602432103
1000,0.96,59.6996198196262
1000,0.94,59.7005508644097
1000,0.92,59.7015554977881
1500,1,59.698228084101
1500,0.98,59.6993593371258
1500,0.96,59.7002538130935
1500,0.94,59.7012402660102
1500,0.92,59.7021841287623
2000,1,59.6990783031646
2000,0.98,59.6999715070644
2000,0.96,59.7009016388029
2000,0.94,59.7018771602699
2000,0.92,59.7027118453956
