inertia,solar,freq
0.0,0.0,0.218736812888473
0.0,0.009999999999999966,0.196225900677852
0.0,0.01999999999999993,0.17576442990989
0.0,0.030000000000000072,0.152134832123487
0.0,0.040000000000000036,0.152120540700849
0.25,0.0,0.181119340501297
0.25,0.009999999999999966,0.163122152680813
0.25,0.01999999999999993,0.152364231280963
0.25,0.030000000000000072,0.15230722395173
0.25,0.040000000000000036,0.152289049463519
0.5,0.0,0.166269402290226
0.5,0.009999999999999966,0.156439857207801
0.5,0.01999999999999993,0.152485789831339
0.5,0.030000000000000072,0.152466687381512
0.5,0.040000000000000036,0.152447936106626
0.75,0.0,0.164417203669487
0.75,0.009999999999999966,0.155559989834671
0.75,0.01999999999999993,0.152589215255645
0.75,0.030000000000000072,0.152571891944362
0.75,0.040000000000000036,0.15255478297459
1.0,0.0,0.163214138580521
1.0,0.009999999999999966,0.154842682417083
1.0,0.01999999999999993,0.152630610080003
1.0,0.030000000000000072,0.152615949975292
1.0,0.040000000000000036,0.152601400469592
