trans,inertia,freq
0.02,0.0,0.218736812888473
0.02,0.25,0.181119340501297
0.02,0.5,0.166269402290226
0.02,0.75,0.164417203669487
0.02,1.0,0.163214138580521
0.04,0.0,0.239369440163713
0.04,0.25,0.197390847143176
0.04,0.5,0.17031612780081
0.04,0.75,0.153642745990368
0.04,1.0,0.152418045105044
0.06,0.0,0.261860552254007
0.06,0.25,0.220933183584606
0.06,0.5,0.191416132134144
0.06,0.75,0.16894907578164
0.06,1.0,0.155219549028949
0.08,0.0,0.273177151181059
0.08,0.25,0.231236591541482
0.08,0.5,0.200877492238192
0.08,0.75,0.177739260652977
0.08,1.0,0.159169820342683
0.1,0.0,0.276288066184421
0.1,0.25,0.234230347001677
0.1,0.5,0.203726935533595
0.1,0.75,0.180457526350104
0.1,1.0,0.161801940254712
