demand,solar,freq
0.98,1.0,0.175200079277062
0.98,1.0125,0.152165109385493
0.98,1.025,0.152149682014688
0.98,1.0375,0.152134832126258
0.98,1.05,0.152120540701027
0.985,1.0,0.186341177766181
0.985,1.0125,0.163396437030912
0.985,1.025,0.152149682014688
0.985,1.0375,0.152134832126258
0.985,1.05,0.152120540701027
0.99,1.0,0.197309028442369
0.99,1.0125,0.174494032563601
0.99,1.025,0.153081778116928
0.99,1.0375,0.152134832126258
0.99,1.05,0.152120540701027
0.995,1.0,0.20810852119002
0.995,1.0125,0.185415859373634
0.995,1.025,0.164702143384311
0.995,1.0375,0.152134832126258
0.995,1.05,0.152120540701027
1.0,1.0,0.218736812888473
1.0,1.0125,0.196225900677852
1.0,1.025,0.17576442990989
1.0,1.0375,0.152134832123487
1.0,1.05,0.152120540700849
