demand,storage,freq
0.98,0.0,0.175200079277062
0.98,0.0125,0.153328601857119
0.98,0.025,0.153328601857119
0.98,0.0375,0.153328601857119
0.98,0.05,0.153328601857119
0.985,0.0,0.186341177766181
0.985,0.0125,0.157669767215545
0.985,0.025,0.153328601857119
0.985,0.0375,0.153328601857119
0.985,0.05,0.153328601857119
0.99,0.0,0.197309028442369
0.99,0.0125,0.168997138495442
0.99,0.025,0.153328601857119
0.99,0.0375,0.153328601857119
0.99,0.05,0.153328601857119
0.995,0.0,0.20810852119002
0.995,0.0125,0.180148267959517
0.995,0.025,0.153328601857119
0.995,0.0375,0.153328601857119
0.995,0.05,0.153328601857119
1.0,0.0,0.218736812888473
1.0,0.0125,0.191128334759064
1.0,0.025,0.16284293755848
1.0,0.0375,0.153328601857154
1.0,0.05,0.153328601857154
