demand,trans,freq
0.98,1000,0.175200079277062
0.98,2000,0.194022955496251
0.98,3000,0.210034341226311
0.98,4000,0.216178341935446
0.98,5000,0.217891543257458
0.985,1000,0.186341177766181
0.985,2000,0.205659044868959
0.985,3000,0.221461663275981
0.985,4000,0.22732684249506
0.985,5000,0.228862013197165
0.99,1000,0.197309028442369
0.99,2000,0.217093429363679
0.99,3000,0.232677601283839
0.99,4000,0.238224421015573
0.99,5000,0.239570360555923
0.995,1000,0.20810852119002
0.995,2000,0.228328327492868
0.995,3000,0.243676457111199
0.995,4000,0.251603262943945
0.995,5000,0.255158390539329
1.0,1000,0.218736812888473
1.0,2000,0.239369440163713
1.0,3000,0.261860552254007
1.0,4000,0.273177151181059
1.0,5000,0.276288066184421
